Gr. Nr.,Ebene,Gruppierung,Domain
12/03/07,Stamm,"Dieburg",dpsg-dieburg.de
12/03/08,Stamm,"Gross-Zimmern, St. Bartholomäus",dpsg-gross-zimmern.de
12/03/11,Stamm,"Münster, St. Michael",pfadfinder-muenster.de
12/03/13,Stamm,"Michelstadt / Odenwald, St. Christophorus",dpsgmichelstadt.de
12/03/14,Stamm,"Weiterstadt, St. Johannes",dpsg-weiterstadt.de
12/03/15,Stamm,"Heppenheim, St. Peter",dpsg-heppenheim.de
12/03/17,Stamm,"Viernheim, Folke Bernadotte",pfadfinder-viernheim.de
12/03/18,Stamm,"Lorsch, St. Nazarius",pfadfinder-lorsch.de
12/03/19,Stamm,"Bürstadt, Bruder Feuer",dpsgbuerstadt.de
12/03/20,Stamm,"Lampertheim, Guy de Larigaudie",dpsglampertheim.de
12/03/23,Stamm,"Darmstadt, Liebfrauen",dpsg-darmstadt-liebfrauen.de
12/03/25,Stamm,"Einhausen",pfadfinder-einhausen.de
13/00/00,Diözese,"Diözesanverband München",dpsg1300.de
13/12/00,Bezirk,"Bezirk München-Isar",dpsg1312.de
13/12/02,Stamm,"München-Giesing, Hl. Engel",heiligengel.de
13/12/03,Stamm,"Garching, St. Severin",severin-garching.de
13/12/04,Stamm,"Stamm Mariahilf",pfadfindermariahilf.de
13/12/06,Stamm,"München-Schwabing, Pater Rupert Mayer",stamm-prm.de
13/12/07,Stamm,"Maximilian Kolbe",maxkolbe.de
13/12/08,Stamm,"München-Solln, St. Ansgar",sanktansgar.de
13/12/09,Stamm,"München-Olympiadorf, Frieden Christi",pfadi-fc.de
13/12/10,Stamm,"Pfadfinderstamm Swapingo",swapingo.de
13/12/12,Stamm,"München-Lehel, St. Anna",-
13/12/13,Stamm,"München-Grosshadern, St. Canisius",scoutingcanisius.de
13/12/14,Siedlung,"München Hl. Kreuz - Forstenried",pfadfinder-hlkreuz.de
13/13/00,Bezirk,"Bezirk München - Ost",dpsg1313.de
13/13/02,Stamm,"Ottobrunn",dpsgottobrunn.de
13/13/04,Stamm,"Camilo Torres, Hohenbrunn",camilo.de
13/13/05,Stamm,"München-Riem, Galileo Galilei",dpsg-riem.de
13/13/06,Stamm,"Unterhaching, St. Birgitta",dpsg-u1.org
13/13/07,Stamm,"Neukeferloh, Columbus",stamm-columbus.de
13/13/08,Stamm,"München-Waldtrudering, Condor",dpsg-condor.de
13/13/09,Stamm,"Putzbrunn, Arche Noah",dpsg-putzbrunn.de
13/13/12,Stamm,"München-Perlach, St. Michael",dpsg-perlach.de
13/14/00,Bezirk,"Bezirk Würm - Amper",wuerm-amper.de
13/14/01,Stamm,"Olching, St. Peter und Paul",pfadfinder-olching.de
13/14/03,Stamm,"München-Pas., St. Hildeg./M.Schutz",-
13/14/04,Stamm,"Germering, Parsberg",parsbergstamm.de
13/14/05,Stamm,"Gröbenzell, St. Johann Baptist",dpsg-gzell.de
13/14/06,Stamm,"Puchheim, Bison",pfadfinderpuchheim.de
13/14/08,Stamm,"Karlsfeld, Anjo II",dpsg-karlsfeld.de
13/14/09,Stamm,"München-Neuhadern, Oscar A. Romero",oaromero.de
13/14/13,Stamm,"München-Laim, St. Willibald",williscouts.de
13/14/14,Stamm,"München-Westend, St. Rupert",rupert-scouts.de
13/15/00,Bezirk,"Bezirk Freising",-
13/15/01,Stamm,"Freising, St. Georg",dpsg-freising.de
13/15/03,Stamm,"Moosburg, St. Kastulus",-
13/15/06,Stamm,"Langenbach, Wolfsspur",dpsg-langenbach.de
13/16/00,Bezirk,"Bezirk Ruperti - Mühldorf",dpsg1316.de
13/16/01,Stamm,"Freilassing, St. Rupert",pfadfinder-freilassing.de
13/16/02,Stamm,"Mühldorf, Tilly",dpsg-muehldorf.de
13/16/04,Stamm,"Mitterfelden, Christopherus",pfadfinder-mitterfelden.de
13/16/05,Stamm,"Laufen, Mariä Himmelfahrt",dpsg-laufen.de
13/16/06,Stamm,"Don Bosco Polling",dpsg-polling.de
13/16/08,Stamm,"Surberg",-
13/16/11,Siedlung,"Steinadler Talkessel Berchtesgaden",pfadfinder-bgd.de
13/17/00,Bezirk,"Bezirk Ebersberg",dpsg-ebersberg.de
13/17/01,Stamm,"Rott am Inn, Marinus",pfadfinder-rott.de
